Variable:,pr
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Denmark,742.35,61.51,47.85,43.43,36.49,49.33,63.24,66.08,80.19,71.49,84.01,70.61,68.11
Vestsjaelland,608.48,47.97,38.16,34.67,31.04,45.66,58.21,61.02,68.63,56.17,60.44,51.84,54.68
Vejle,776.26,64.90,52.92,46.36,38.74,50.57,65.50,68.04,80.38,73.42,88.47,74.76,72.20
Aarhus,660.54,53.85,44.01,37.72,33.82,47.34,58.67,63.02,71.89,61.00,72.85,59.22,57.15
Storstroem,596.47,48.26,39.61,35.07,31.14,44.32,55.53,61.30,66.37,53.80,54.63,53.22,53.21
Soenderjylland,828.59,70.71,53.13,49.70,39.12,52.72,68.99,75.26,89.11,79.58,94.25,79.54,76.48
Ringkoebing,843.70,72.00,54.73,49.95,39.20,51.30,65.10,67.42,89.13,86.11,101.35,85.81,81.61
Ribe,848.60,71.05,54.92,50.21,39.51,50.78,66.10,69.50,92.16,85.35,102.24,84.96,81.83
Roskilde,609.66,47.75,37.11,34.62,31.37,43.51,58.43,62.46,70.02,56.82,60.00,52.34,55.23
Nordjylland,717.35,57.46,43.95,41.00,36.64,50.01,63.69,64.93,78.34,68.69,83.01,66.90,62.74
Koebenhavn,640.71,50.33,38.18,36.30,33.27,43.56,61.63,66.60,71.80,61.00,64.47,54.99,58.58
Frederiksborg,634.16,49.08,36.92,35.39,32.65,42.93,61.78,66.62,73.29,60.31,63.77,53.97,57.46
Fyn,636.33,52.08,43.49,36.60,32.28,46.08,59.54,60.71,68.37,57.03,65.56,59.63,54.97
Viborg,808.52,69.12,52.50,48.15,39.41,51.94,65.86,66.94,86.01,79.19,94.23,79.69,75.46
Frederiksberg,672.76,54.13,41.17,39.02,35.11,44.77,64.18,68.57,73.04,63.56,68.32,58.16,62.72
Bornholm,599.99,48.00,39.25,34.84,31.26,40.23,48.47,57.47,64.79,58.29,62.71,56.97,57.69
