Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Denmark,8.86,1.51,1.54,3.49,7.53,11.46,14.67,17.03,16.99,13.85,9.64,5.57,2.59
Vestsjaelland,9.35,1.85,1.74,3.49,7.59,11.77,15.31,17.70,17.69,14.62,10.35,6.31,3.20
Vejle,8.59,1.19,1.30,3.43,7.45,11.37,14.38,16.71,16.65,13.38,9.29,5.15,2.22
Aarhus,8.61,1.19,1.23,3.29,7.31,11.37,14.48,16.99,16.74,13.44,9.17,5.18,2.36
Storstroem,9.38,1.82,1.78,3.62,7.69,11.70,15.51,17.69,17.71,14.81,10.52,6.29,2.89
Soenderjylland,8.99,1.61,1.73,3.84,7.79,11.69,14.68,17.03,17.08,13.89,9.77,5.62,2.67
Ringkoebing,8.84,1.75,1.80,3.50,7.61,11.25,14.42,16.67,16.80,13.92,9.77,5.63,2.50
Ribe,8.95,1.76,1.81,3.67,7.78,11.51,14.59,16.87,16.96,13.95,9.86,5.62,2.50
Roskilde,9.40,1.72,1.70,3.65,7.85,12.05,15.66,17.91,17.74,14.59,10.23,6.15,2.98
Nordjylland,8.60,1.18,1.23,3.23,7.22,11.25,14.46,16.95,16.74,13.53,9.17,5.27,2.46
Koebenhavn,9.41,1.58,1.62,3.72,8.00,12.29,15.82,18.12,17.89,14.42,9.97,5.99,2.91
Frederiksborg,9.40,1.61,1.64,3.73,8.01,12.30,15.75,18.03,17.80,14.41,9.99,5.99,2.95
Fyn,9.15,1.74,1.71,3.68,7.61,11.66,14.94,17.33,17.43,14.12,9.99,5.97,3.04
Viborg,8.69,1.44,1.47,3.40,7.38,11.19,14.37,16.72,16.74,13.69,9.50,5.43,2.46
Frederiksberg,9.27,1.39,1.43,3.53,7.87,12.21,15.76,18.11,17.87,14.24,9.77,5.80,2.74
Bornholm,8.62,1.20,1.06,2.47,6.25,10.41,14.57,17.51,17.54,14.09,9.53,5.69,2.63
