Variable:,tasmin
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Denmark,5.66,-0.61,-0.69,0.61,3.58,7.15,10.49,12.96,12.92,10.41,6.83,3.34,0.46
Vestsjaelland,6.75,0.10,-0.07,1.07,4.37,8.27,11.94,14.37,14.48,11.92,8.13,4.53,1.43
Vejle,5.02,-1.12,-1.14,0.32,3.09,6.64,9.69,12.13,12.02,9.47,6.13,2.68,-0.11
Aarhus,5.01,-1.11,-1.22,0.09,2.91,6.56,9.72,12.35,12.13,9.54,6.02,2.73,0.02
Storstroem,6.73,0.04,-0.07,1.11,4.40,8.16,12.14,14.33,14.43,12.02,8.18,4.45,1.12
Soenderjylland,5.61,-0.58,-0.63,0.88,3.60,7.24,10.30,12.75,12.74,10.17,6.74,3.24,0.48
Ringkoebing,5.84,-0.30,-0.34,0.79,3.92,7.12,10.59,12.97,13.07,10.79,7.14,3.48,0.42
Ribe,5.79,-0.36,-0.43,0.89,3.86,7.22,10.56,12.96,12.98,10.62,7.03,3.35,0.36
Roskilde,6.42,-0.21,-0.36,0.90,4.13,8.03,11.77,14.11,14.00,11.37,7.66,4.14,1.05
Nordjylland,5.29,-1.02,-1.09,0.20,3.16,6.81,10.11,12.74,12.58,9.98,6.32,2.98,0.28
Koebenhavn,6.16,-0.51,-0.62,0.77,3.92,7.88,11.54,13.96,13.77,10.87,7.18,3.83,0.87
Frederiksborg,6.15,-0.49,-0.61,0.77,3.94,7.90,11.47,13.89,13.71,10.87,7.19,3.82,0.90
Fyn,6.16,-0.18,-0.34,1.03,3.92,7.76,11.02,13.39,13.58,10.88,7.38,3.94,1.10
Viborg,5.49,-0.72,-0.80,0.50,3.46,6.85,10.22,12.73,12.71,10.30,6.72,3.19,0.30
Frederiksberg,6.02,-0.69,-0.80,0.59,3.73,7.75,11.45,13.92,13.74,10.69,7.00,3.69,0.71
Bornholm,5.62,-0.69,-1.01,-0.24,2.38,6.12,10.60,13.71,13.75,10.90,6.92,3.75,0.76
